Table;Column;Data Type;Is Nullable;Is Unique;Is Primary Key;Is Foreign Key;Referenced Table.Column;Example 1;Example 2;;;;;;;;;;;;;;;;;;;;;;;;
agreements;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements;deleted_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;id;int;YES;NO;NO;YES;agreements.id;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;original_name;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;size;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;mime_type;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;active;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;agreement_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_files;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_statuses;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_statuses;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
agreements_statuses;description;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;id;int;YES;NO;NO;YES;admin_users.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;management_starts_at;date;NO;NO;NO;YES;agreements.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;starts_at;date;NO;NO;NO;YES;annexes_statuses.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;ends_at;date;YES;NO;NO;YES;beuniversity_admin_users.id;;;;;;;;;;;;;;;;;;;;;;;;;;
annexes;weekly_work_hours;int;YES;NO;NO;YES;companies.id;;;;;;;;;;;;;;;;;;;;;;;;;;
